R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,date,location,R_SIG_STR._ATT,R_SIG_STR._LANDED,B_SIG_STR._ATT,B_SIG_STR._LANDED,R_TOTAL_STR._ATT,R_TOTAL_STR._LANDED,B_TOTAL_STR._ATT,B_TOTAL_STR._LANDED,R_TD_ATT,R_TD_LANDED,B_TD_ATT,B_TD_LANDED,R_HEAD_ATT,R_HEAD_LANDED,B_HEAD_ATT,B_HEAD_LANDED,R_BODY_ATT,R_BODY_LANDED,B_BODY_ATT,B_BODY_LANDED,R_LEG_ATT,R_LEG_LANDED,B_LEG_ATT,B_LEG_LANDED,R_DISTANCE_ATT,R_DISTANCE_LANDED,B_DISTANCE_ATT,B_DISTANCE_LANDED,R_CLINCH_ATT,R_CLINCH_LANDED,B_CLINCH_ATT,B_CLINCH_LANDED,R_GROUND_ATT,R_GROUND_LANDED,B_GROUND_ATT,B_GROUND_LANDED,title_bout,weight_class,total_time_fought(sec),no_of_rounds,Red_win
Rogerio Bontorin,Ray Borg,0,0,0.45,0.77,0.0,0.52,0,0,0,6,0,0,Other,3,2020-02-15,0,20,9,45,35,35,24,74,60,2,0,19,10,14,3,44,35,5,5,1,0,1,1,0,0,13,3,7,2,6,5,16,12,1,1,22,21,0,Flyweight,900,3,0
Lando Vannata,Yancy Medeiros,0,0,0.52,0.35,0.0,0.0,0,0,0,0,0,0,Other,3,2020-02-15,0,188,99,193,68,189,100,193,68,3,0,1,0,107,36,163,42,38,29,17,14,43,34,13,12,185,98,191,66,3,1,2,2,0,0,0,0,0,Lightweight,900,3,1
Tim Means,Daniel Rodriguez,0,1,0.43,0.4,0.33,0.0,0,1,0,0,0,0,Submission,2,2020-02-15,0,95,41,121,49,95,41,121,49,3,1,0,0,61,19,107,37,24,12,7,5,10,10,7,7,92,41,119,49,3,0,2,0,0,0,0,0,0,Welterweight,517,3,0
John Dodson,Nathaniel Wood,1,0,0.54,0.46,0.0,1.0,0,0,0,0,0,0,KO,3,2020-02-15,0,72,39,99,46,91,57,124,68,0,0,1,1,64,31,63,24,5,5,15,6,3,3,21,16,62,31,92,40,5,4,6,5,5,4,1,1,0,Bantamweight,616,3,1
Jim Miller,Scott Holtzman,0,0,0.47,0.44,0.0,1.0,0,0,0,1,0,0,Other,3,2020-02-15,0,121,58,197,88,131,66,231,120,2,0,1,1,93,33,180,77,15,13,8,5,13,12,9,6,104,44,169,70,14,11,16,10,3,3,12,8,0,Lightweight,900,3,0
Devin Clark,Dequan Townsend,0,0,0.72,0.16,0.75,0.0,0,0,3,0,0,0,Other,3,2020-02-15,0,54,39,36,6,150,122,69,37,4,3,0,0,32,19,33,4,14,13,3,2,8,7,0,0,20,9,32,2,4,3,4,4,30,27,0,0,0,Light Heavyweight,900,3,1
Casey Kenney,Merab Dvalishvili,0,0,0.38,0.34,0.0,0.5,0,0,0,3,0,0,Other,3,2020-02-15,0,118,45,181,63,120,47,241,114,0,0,24,12,87,22,137,30,17,10,23,14,14,13,21,19,112,42,156,43,6,3,8,7,0,0,17,13,0,Bantamweight,900,3,0
Macy Chiasson,Shanna Young,0,0,0.51,0.56,0.37,0.0,0,0,4,1,0,0,Other,3,2020-02-15,0,166,86,71,40,253,154,83,50,8,3,1,0,120,48,57,32,46,38,12,7,0,0,2,1,49,16,54,24,61,45,17,16,56,25,0,0,0,Women's Bantamweight,900,3,1
Mark De La Rosa,Raulian Paiva,0,1,0.36,0.42,0.0,0.0,0,0,0,0,0,0,KO,2,2020-02-15,0,124,45,126,54,124,45,139,67,2,0,0,0,91,21,98,33,24,15,13,10,9,9,15,11,122,44,116,45,2,1,9,8,0,0,1,1,0,Flyweight,582,3,0
Jon Jones,Dominick Reyes,0,0,0.62,0.44,0.22,0.0,0,0,0,0,0,0,Other,5,2020-02-08,0,166,104,259,116,170,107,263,119,9,2,0,0,74,31,169,41,39,30,55,48,53,43,35,27,161,101,252,109,5,3,7,7,0,0,0,0,1,Light Heavyweight,1500,5,1
Valentina Shevchenko,Katlyn Chookagian,0,0,0.61,0.3,1.0,0.0,0,0,2,0,0,0,KO,3,2020-02-08,0,65,40,56,17,82,57,68,27,3,3,0,0,48,26,28,0,4,3,9,5,13,11,19,12,48,23,56,17,0,0,0,0,17,17,0,0,1,Women's Flyweight,663,5,1
Juan Adams,Justin Tafa,0,1,0.63,0.66,0.0,0.0,0,0,0,0,0,0,KO,1,2020-02-08,0,11,7,15,10,11,7,15,10,0,0,0,0,4,3,9,5,4,2,1,0,3,2,5,5,11,7,11,8,0,0,1,1,0,0,3,1,0,Heavyweight,119,3,0
Mirsad Bektic,Dan Ige,0,0,0.28,0.48,0.3,0.5,1,0,6,1,0,0,Other,3,2020-02-08,0,60,17,88,43,74,29,117,64,10,3,2,1,56,14,70,27,4,3,17,15,0,0,1,1,54,14,68,28,6,3,16,12,0,0,4,3,0,Featherweight,900,3,0
