fighter_name,DOB,Height,Reach,Stance,Weight
Anthony Hernandez,18-Oct-93,"6' 0""","75""",Orthodox,185 lbs.
Nohelin Hernandez,1-Mar-94,"5' 10""","71""",Orthodox,135 lbs.
Geane Herrera,27-May-90,"5' 5""","66""",Orthodox,125 lbs.
Alvaro Herrera,14-May-90,"6' 0""","74""",Orthodox,155 lbs.
Felice Herrig,18-Sep-84,"5' 4""","65""",Orthodox,115 lbs.
Heath Herring,2-Mar-78,"6' 4""","78""",Orthodox,250 lbs.
Jon Hess,,"6' 7""",,,295 lbs.
Clint Hester,21-Nov-86,"6' 2""","77""",Orthodox,205 lbs.
Jimy Hettes,9-Jun-87,"5' 9""","71""",Southpaw,145 lbs.
Conor Heun,11-Feb-79,"5' 10""",,Orthodox,155 lbs.
Marcus Hicks,25-Nov-75,"5' 6""","64""",Southpaw,155 lbs.
Jay Hieron,29-Jul-76,"6' 0""","75""",Orthodox,170 lbs.
Lee Higgins,14-Jul-80,,,,155 lbs.
Jason High,12-Oct-81,"5' 8""","71""",Southpaw,155 lbs.
Richie Hightower,26-Nov-74,"5' 8""",,Orthodox,170 lbs.
Corey Hill,3-Oct-78,"6' 4""","80""",Orthodox,155 lbs.
Angela Hill,12-Jan-85,"5' 3""","64""",Orthodox,115 lbs.
Tyler Hill,10-Aug-91,"6' 3""","78""",Switch,170 lbs.
Jamahal Hill,19-May-91,"6' 4""","79""",Southpaw,205 lbs.
Kailan Hill,1-Dec-94,"6' 1""","77""",Southpaw,185 lbs.
Branden Lee Hinkle,29-Jul-73,"6' 3""",,Orthodox,235 lbs.
Hatsu Hioki,18-Jul-83,"5' 11""","70""",Orthodox,145 lbs.
Alan Hiro,4-Apr-86,"5' 5""",,Orthodox,135 lbs.
Kuniyoshi Hironaka,17-Jun-76,"5' 10""","70""",Orthodox,168 lbs.
Mizuto Hirota,5-May-81,"5' 7""","67""",Orthodox,155 lbs.
Yuji Hisamatsu,18-Sep-71,"5' 10""",,,185 lbs.
Kwan Ho Kwak,18-Jun-89,"5' 5""","70""",Switch,135 lbs.
Matt Hobar,7-Jan-87,"5' 10""","70""",Southpaw,135 lbs.
Bobby Hoffman,28-Oct-68,"6' 2""",,Orthodox,245 lbs.
Sam Hoger,28-Jun-80,"6' 2""",,Orthodox,205 lbs.
Andrew Holbrook,6-Feb-86,"5' 11""","70""",Southpaw,155 lbs.
Sean Holden,17-Sep-84,"5' 10""",,,170 lbs.
Chris Holdsworth,24-Oct-87,"5' 11""","71""",,135 lbs.
Kevin Holland,5-Nov-92,"6' 3""","81""",Orthodox,170 lbs.
Roger Hollett,8-Oct-78,"5' 11""","70""",Orthodox,205 lbs.
Max Holloway,4-Dec-91,"5' 11""","69""",Orthodox,145 lbs.
Gabrielle Holloway,15-Apr-90,"5' 3""",,,145 lbs.
Jeremie Holloway,29-Sep-84,"6' 0""",,,170 lbs.
Holly Holm,17-Oct-81,"5' 8""","69""",Southpaw,135 lbs.
Rex Holman,,"6' 3""",,Southpaw,205 lbs.
Kurt Holobaugh,8-Sep-86,"5' 11""","70""",Orthodox,155 lbs.
Paddy Holohan,3-May-88,"5' 10""","69""",Orthodox,125 lbs.
Mark Holst,14-Aug-85,"6' 0""",,Orthodox,155 lbs.
Scott Holtzman,30-Sep-83,"5' 9""","69""",Orthodox,155 lbs.
Sabah Homasi,19-Oct-88,"6' 0""","72""",Orthodox,170 lbs.
Mark Hominick,22-Jul-82,"5' 8""","68""",Orthodox,145 lbs.
Barb Honchak,30-Aug-79,"5' 4""","65""",Orthodox,125 lbs.
Chris Honeycutt,25-Jul-88,"5' 10""",,,170 lbs.
Satoshi Honma,19-May-68,"6' 1""",,Orthodox,205 lbs.
David Hood,,"6' 0""",,,200 lbs.
Lorenzo Hood,,"6' 3""",,,265 lbs.
Dan Hooker,13-Feb-90,"6' 0""","75""",Switch,155 lbs.
Chase Hooper,13-Sep-99,"6' 1""","74""",Southpaw,145 lbs.
Darrell Horcher,28-Jul-87,"5' 10""","70""",Southpaw,155 lbs.
Yoshinori Horie,10-May-95,"5' 8""","70""",Orthodox,145 lbs.
Kyoji Horiguchi,12-Oct-90,"5' 5""","66""",Orthodox,125 lbs.
Jeremy Horn,25-Aug-75,"6' 1""","74""",Orthodox,185 lbs.
Chris Horodecki,24-Sep-87,"5' 9""","69""",Orthodox,155 lbs.
Matt Horwich,2-Oct-78,"6' 1""",,Orthodox,185 lbs.
John Hosman,13-Nov-80,"5' 10""",,Southpaw,135 lbs.
Jeff Hougland,2-Aug-78,"5' 7""","68""",Orthodox,135 lbs.
Brian Houston,26-Apr-81,"6' 2""","78""",Orthodox,185 lbs.
John Howard,1-Mar-83,"5' 7""","71""",Orthodox,170 lbs.
Shane Howell,28-Nov-83,"5' 8""","69""",Orthodox,125 lbs.
Carlos Huachin,4-Jun-96,"5' 4""","67""",Southpaw,135 lbs.
Austin Hubbard,22-Dec-91,"5' 10""","71""",Orthodox,155 lbs.
Alex Huddleston,11-Aug-86,"6' 7""",,,254 lbs.
Roger Huerta,20-May-83,"5' 9""","70""",Orthodox,155 lbs.
Matt Hughes,13-Oct-73,"5' 9""","73""",Switch,170 lbs.
Mark Hughes,13-Oct-73,"5' 9""",,Southpaw,205 lbs.
Jeff Hughes,17-May-88,"6' 2""","77""",Orthodox,250 lbs.
David Hulett,7-Sep-80,"5' 10""",,,170 lbs.
Mark Hunt,23-Mar-74,"5' 10""","72""",Orthodox,265 lbs.
Alex Hunter,,"5' 9""",,Orthodox,226 lbs.
Adam Hunter,16-Oct-83,"6' 1""","73""",Orthodox,185 lbs.
Joe Hurley,24-Jun-78,"5' 8""",,,155 lbs.
Solomon Hutcherson,31-Aug-72,"5' 11""",,Southpaw,185 lbs.
Al Iaquinta,30-Apr-87,"5' 10""","70""",Orthodox,155 lbs.
Khadis Ibragimov,21-May-95,"6' 3""","78""",Orthodox,205 lbs.
Minoki Ichihara,,"5' 7""",,Orthodox,178 lbs.
Dan Ige,6-Aug-91,"5' 7""","71""",Orthodox,145 lbs.
Sergey Ignatov,,"5' 9""",,Orthodox,210 lbs.
Fabiano Iha,28-Jul-70,"5' 8""",,Orthodox,155 lbs.
Seichi Ikemoto,24-Aug-75,"5' 11""",,Orthodox,168 lbs.
Mikhail Iloukhine,21-Nov-66,"5' 9""",,Orthodox,205 lbs.
Zelim Imadaev,25-Jan-95,"6' 0""","76""",Orthodox,170 lbs.
Yusuke Imamura,,"5' 8""",,Orthodox,220 lbs.
Masakazu Imanari,10-Feb-76,"5' 4""",,Southpaw,139 lbs.
Brad Imes,13-Mar-77,"6' 7""",,Orthodox,265 lbs.
Chris Indich,22-Apr-87,"5' 10""","73""",,170 lbs.
Guto Inocente,29-May-86,"6' 3""","77""",Orthodox,205 lbs.
Enson Inoue,15-Apr-67,"5' 10""",,Orthodox,210 lbs.
Egan Inoue,4-Jul-65,"5' 9""",,Southpaw,190 lbs.
Katsuya Inoue,10-Aug-79,"5' 9""",,Southpaw,168 lbs.
Takeshi Inoue,18-Mar-80,"5' 8""",,,145 lbs.
Naoki Inoue,14-Jun-97,"5' 9""","71""",Orthodox,125 lbs.
Mizuki Inoue,19-Aug-94,"5' 3""","65""",Orthodox,125 lbs.
Jason Ireland,30-Dec-79,"5' 9""",,Southpaw,161 lbs.
James Irvin,12-Sep-78,"6' 2""","75""",Orthodox,205 lbs.
Eric Irvin,10-Jan-86,"5' 8""",,,155 lbs.
Mitsuhiro Ishida,29-Dec-78,"5' 6""",,Southpaw,154 lbs.
Teruto Ishihara,23-Jul-91,"5' 7""","69""",Southpaw,135 lbs.
Satoshi Ishii,19-Dec-86,"5' 11""",,Orthodox,240 lbs.
Eiji Ishikawa,12-Oct-79,"5' 10""",,,170 lbs.
Tokimitsu Ishizawa,5-Aug-68,"6' 0""",,Orthodox,185 lbs.
Damir Ismagulov,3-Feb-91,"5' 9""","70""",Orthodox,155 lbs.
Wallid Ismail,23-Feb-68,"5' 7""",,Orthodox,205 lbs.
Leandro Issa,19-Sep-83,"5' 7""","69""",Orthodox,135 lbs.
Oscar Cota,15-Oct-84,"6' 2""",,Orthodox,230 lbs.
Blagoy Ivanov,9-Oct-86,"5' 11""","73""",Southpaw,250 lbs.
Anthony Ivy,23-Jan-90,"6' 2""","74""",Orthodox,185 lbs.
Tomomi Iwama,,"5' 3""",,Orthodox,155 lbs.
Tatsuya Iwasaki,,"5' 9""",,Orthodox,205 lbs.
Yoislandy Izquierdo,9-Jan-84,"5' 11""",,Southpaw,155 lbs.
Hiroshi Izumi,22-Jun-82,,,Orthodox,205 lbs.
Yves Jabouin,30-May-79,"5' 7""","68""",Orthodox,135 lbs.
Kevin Jackson,,"5' 10""",,Switch,199 lbs.
Eugene Jackson,23-Sep-66,"5' 8""",,Orthodox,185 lbs.
Rampage Jackson,20-Jun-78,"6' 1""","73""",Orthodox,205 lbs.
Jeremy Jackson,19-Sep-82,"5' 10""",,Orthodox,170 lbs.
Damon Jackson,8-Aug-88,"5' 11""","71""",Switch,145 lbs.
Kenyon Jackson,,"6' 0""",,,185 lbs.
Mike Jackson,22-Mar-85,"6' 2""",,Orthodox,170 lbs.
Jason Jackson,30-Oct-90,"6' 1""","78""",Orthodox,170 lbs.
Montel Jackson,24-Apr-92,"5' 10""","75""",Southpaw,135 lbs.
Dustin Jacoby,4-Apr-88,"6' 4""","78""",Orthodox,185 lbs.
Justin James,8-Nov-76,"5' 10""",,Orthodox,155 lbs.
Nate James,29-May-78,"6' 0""",,,185 lbs.
Virna Jandiroba,30-May-88,"5' 3""","64""",Orthodox,115 lbs.
Ryan Janes,22-Aug-81,"6' 3""","76""",Orthodox,185 lbs.
Josh Janousek,25-Sep-80,"5' 11""","73""",Orthodox,185 lbs.
Dave Jansen,21-Aug-79,"5' 9""","73""",Orthodox,155 lbs.
Jaime Jara,2-Aug-69,"6' 1""",,Southpaw,205 lbs.
Keith Jardine,31-Oct-75,"6' 2""","76""",Orthodox,185 lbs.
Brock Jardine,10-Jul-85,"5' 11""","73""",Orthodox,170 lbs.
Rony Jason,21-Mar-84,"5' 7""","70""",Orthodox,145 lbs.
Joanna Jedrzejczyk,18-Aug-87,"5' 6""","65""",Orthodox,115 lbs.
Aaron Jeffery,14-Nov-92,"6' 2""","74""",Orthodox,185 lbs.
Bubba Jenkins,5-Feb-88,"5' 7""",,,145 lbs.
Adrienna Jenkins,22-Jul-81,"5' 8""",,,145 lbs.
Steve Jennum,,"5' 10""",,Orthodox,215 lbs.
Ryan Jensen,20-Sep-77,"6' 1""","76""",Orthodox,185 lbs.
Kyle Jensen,20-Jul-79,"5' 9""",,Orthodox,170 lbs.
Chanmi Jeon,28-Aug-97,"5' 5""","67""",Orthodox,115 lbs.
Maciej Jewtuszko,31-Jan-81,"6' 0""",,Southpaw,155 lbs.
Ronald Jhun,21-Sep-70,"5' 11""",,Orthodox,170 lbs.
Art Jimmerson,4-Aug-63,"6' 1""",,Orthodox,196 lbs.
Ryan Jimmo,27-Nov-81,"6' 1""","73""",Orthodox,205 lbs.
Sung Bin Jo,17-Jul-92,"6' 0""","72""",Orthodox,145 lbs.
Carls John De Tomas,28-Aug-96,"5' 5""","71""",Southpaw,125 lbs.
Phil Johns,22-Oct-68,"5' 2""",,Southpaw,170 lbs.
Brett Johns,21-Feb-92,"5' 7""","71""",Orthodox,135 lbs.
Miles Johns,30-Mar-94,"5' 7""","66""",Orthodox,135 lbs.
Anthony Johnson,6-Mar-84,"6' 2""","78""",Orthodox,205 lbs.
DaMarques Johnson,28-Jun-82,"6' 1""","75""",Orthodox,170 lbs.
Tony Johnson,,"6' 1""",,,265 lbs.
Lavar Johnson,11-Jun-77,"6' 4""","82""",Orthodox,240 lbs.
Demetrious Johnson,13-Aug-86,"5' 3""","66""",Orthodox,125 lbs.
Michael Johnson,4-Jun-86,"5' 10""","73""",Southpaw,155 lbs.
Deshaun Johnson,,,,,167 lbs.
Kajan Johnson,21-Apr-84,"5' 11""","75""",Orthodox,155 lbs.
Dashon Johnson,25-Jan-88,"5' 7""","70""",Orthodox,145 lbs.
Tim Johnson,13-Mar-85,"6' 3""","77""",Southpaw,265 lbs.
Jordan Johnson,18-Nov-88,"6' 2""","79""",Orthodox,205 lbs.
Taylor Johnson,9-Nov-90,"6' 0""","74""",Switch,185 lbs.
Brian Johnston,,"6' 3""",,Orthodox,230 lbs.
Liana Jojua,22-Mar-95,"5' 4""","62""",Orthodox,135 lbs.
Daniel Jolly,3-Sep-84,"6' 1""","75""",Orthodox,205 lbs.
Paul Jones,16-Jun-63,"5' 9""",,Orthodox,199 lbs.
Jon Jones,19-Jul-87,"6' 4""","84""",Orthodox,205 lbs.
Nathan Jones,21-Aug-70,"6' 11""",,Orthodox,345 lbs.
Marcus Jones,15-Aug-73,"6' 6""",,Orthodox,265 lbs.
Carlton Jones,,"6' 1""",,Orthodox,225 lbs.
Tito Jones,31-Jul-81,"5' 8""",,Southpaw,145 lbs.
Roy Jones,26-Oct-83,,,,205 lbs.
Justin Jones,6-Sep-87,"5' 11""","78""",Orthodox,185 lbs.
Chris Jones,16-Nov-81,"5' 9""",,,149 lbs.
Roshaun Jones,,"5' 8""",,,135 lbs.
Jamelle Jones,31-Jan-88,"6' 0""","75""",Orthodox,205 lbs.
Antonio Jones,12-Apr-85,"5' 11""",,Orthodox,185 lbs.
Jocelyn Jones-Lybarger,4-Oct-85,"5' 7""","64""",Orthodox,115 lbs.
Kevin Jordan,31-Dec-70,"6' 3""",,Orthodox,245 lbs.
Joe Jordan,27-Jul-78,"5' 6""",,Orthodox,155 lbs.
Shawn Jordan,21-Oct-84,"6' 0""","75""",Southpaw,260 lbs.
Ivan Jorge,7-Nov-80,"5' 9""","73""",Orthodox,155 lbs.
Scott Jorgensen,17-Sep-82,"5' 5""","66""",Orthodox,135 lbs.
Dwight Joseph,16-Aug-89,"5' 6""",,Switch,135 lbs.
Jeff Joslin,30-Apr-75,"6' 0""",,Orthodox,170 lbs.
Krzysztof Jotko,19-Aug-89,"6' 1""","77""",Southpaw,185 lbs.
Alan Jouban,25-Nov-81,"6' 0""","73""",Southpaw,170 lbs.
Charles Jourdain,27-Nov-95,"5' 9""","69""",Switch,145 lbs.
Mike Joy,18-Jul-85,"5' 6""",,Southpaw,155 lbs.
Dustin Joynson,14-Oct-85,"6' 6""","78""",Orthodox,244 lbs.
Jesse Juarez,8-May-81,"6' 1""",,Orthodox,170 lbs.
Steve Judson,,"5' 11""",,Orthodox,230 lbs.
Luke Jumeau,12-Feb-88,"5' 11""","72""",Orthodox,170 lbs.
Bu-Kyung Jung,26-May-78,"5' 7""",,Orthodox,154 lbs.
Chan Sung Jung,17-Mar-87,"5' 7""","72""",Orthodox,145 lbs.
Young Sam Jung,27-Oct-85,"5' 8""",,Orthodox,139 lbs.
Da-Un Jung,7-Dec-93,"6' 4""","78""",Orthodox,205 lbs.
Scott Junk,17-Dec-78,"6' 1""",,Orthodox,265 lbs.
Myles Jury,31-Oct-88,"5' 10""","73""",Orthodox,145 lbs.
Cris Cyborg,9-Jul-85,"5' 8""","68""",Orthodox,145 lbs.
Patrick Kaase,,"5' 9""",,,185 lbs.
Emily Peters Kagan,14-Jul-81,"5' 3""","66""",,115 lbs.
Sirwan Kakai,3-Oct-89,"5' 5""","66""",Orthodox,135 lbs.
Geza Kalman,,"6' 1""",,,200 lbs.
Martin Kampmann,17-Apr-82,"6' 0""","72""",Orthodox,170 lbs.
Bharat Kandare,20-Jun-87,"5' 7""","72""",Orthodox,135 lbs.
Hiromitsu Kanehara,5-Oct-70,"5' 10""",,Orthodox,200 lbs.
Masanori Kanehara,19-Nov-82,"5' 7""","67""",Orthodox,135 lbs.
Ken Kaneko,,"6' 0""",,Orthodox,161 lbs.
Denis Kang,17-Sep-77,"5' 11""","77""",Orthodox,185 lbs.
Kyung Ho Kang,9-Sep-87,"5' 9""","73""",Orthodox,135 lbs.
Manel Kape,14-Nov-93,"5' 6""",,,125 lbs.
David Kaplan,16-Nov-79,"5' 7""",,Orthodox,155 lbs.
Kai Kara-France,26-Mar-93,"5' 4""","69""",Orthodox,125 lbs.
Georgi Karakhanyan,29-May-85,"5' 8""",,,145 lbs.
Alex Karalexis,20-Sep-77,"5' 8""","66""",Orthodox,155 lbs.
Impa Kasanganay,17-Jan-94,"5' 11""","75""",Orthodox,185 lbs.
Nadia Kassem,15-Nov-95,"5' 5""","66""",Southpaw,125 lbs.
Yusuke Kasuya,16-Nov-89,"5' 7""","67""",Southpaw,155 lbs.
Tetsuji Kato,,,,Orthodox,155 lbs.
Hisaki Kato,17-Sep-82,"6' 0""",,,185 lbs.
Brad Katona,19-Dec-91,"5' 6""","64""",Orthodox,135 lbs.
Calvin Kattar,26-Mar-88,"5' 11""","72""",Orthodox,145 lbs.
Sarah Kaufman,20-Sep-85,"5' 5""","67""",Orthodox,135 lbs.
Yusuke Kawaguchi,14-Aug-80,"6' 0""",,,255 lbs.
Canaan Kawaihae,26-Aug-97,"6' 0""",,Southpaw,145 lbs.
Tatsuya Kawajiri,8-May-78,"5' 7""","69""",Orthodox,145 lbs.
Ryo Kawamura,29-Jun-81,"5' 11""",,Orthodox,205 lbs.
Julie Kedzie,18-Mar-81,"5' 5""","64""",Orthodox,135 lbs.
Ryan Keenan,15-Jun-85,"5' 10""",,,170 lbs.
CJ Keith,9-Aug-86,"6' 0""",,Orthodox,155 lbs.
Chris Kelades,21-Feb-81,"5' 7""","68""",Orthodox,125 lbs.
Brian Kelleher,19-Aug-86,"5' 6""","66""",Switch,145 lbs.
Mayana Kellem,7-Jul-81,"5' 5""",,Orthodox,135 lbs.
Paul Kelly,12-Sep-84,"5' 9""","70""",Orthodox,155 lbs.
John Kelly,2-Aug-78,"5' 9""",,,170 lbs.
Daniel Kelly,31-Oct-77,"6' 0""","70""",Southpaw,185 lbs.
Tim Kennedy,1-Sep-79,"5' 11""","74""",Orthodox,185 lbs.
Steve Kennedy,7-Mar-83,"5' 11""","71""",Orthodox,170 lbs.
Jeremy Kennedy,16-Sep-92,"5' 11""","71""",Orthodox,145 lbs.
Casey Kenney,20-Mar-91,"5' 7""","68""",Southpaw,135 lbs.
Mark Kerr,21-Dec-68,"6' 3""",,Switch,266 lbs.
Will Kerr,21-Oct-82,"5' 10""","69""",Orthodox,155 lbs.
Rustam Khabilov,4-Nov-86,"5' 8""","73""",Orthodox,155 lbs.
Adam Khaliev,16-Apr-84,"6' 0""",,Orthodox,170 lbs.
Sergey Khandozhko,19-May-92,"6' 1""","74""",Orthodox,170 lbs.
Sergei Kharitonov,18-Aug-80,"6' 0""",,Orthodox,245 lbs.
Alfred Khashakyan,17-Jul-88,"5' 8""","70""",Orthodox,135 lbs.
Pannie Kianzad,8-Dec-91,"5' 7""","66""",Orthodox,135 lbs.
Akira Kikuchi,23-Jul-78,"5' 8""",,Orthodox,155 lbs.
Katsunori Kikuno,31-Oct-81,"5' 8""","66""",Orthodox,145 lbs.
Sanae Kikuta,10-Sep-71,"5' 9""",,Orthodox,200 lbs.
Jacob Kilburn,28-Jun-95,"5' 9""","72""",Orthodox,145 lbs.
Dong Hyun Kim,17-Nov-81,"6' 2""","76""",Southpaw,170 lbs.
Dae Won Kim,,"5' 11""",,Orthodox,180 lbs.
Jong Wang Kim,,"6' 1""",,,240 lbs.
Jong Won Kim,,"5' 7""",,Orthodox,139 lbs.
Min Soo Kim,22-Jan-75,"6' 1""",,Southpaw,255 lbs.
Jong Man Kim,3-Mar-78,"5' 7""",,Orthodox,139 lbs.
Ji Yeon Kim,18-Oct-89,"5' 7""","72""",Orthodox,125 lbs.
Jeremy Kimball,3-Jan-91,"6' 0""","72""",Switch,205 lbs.
Rob Kimmons,30-Jan-81,"5' 10""","73""",Orthodox,185 lbs.
Dustin Kimura,21-May-89,"5' 7""","71""",Orthodox,135 lbs.
Taiei Kin,8-Jul-70,"5' 11""",,Orthodox,185 lbs.
Mike King,4-Aug-83,"6' 3""","75""",,185 lbs.
Kyle Kingsbury,22-Mar-82,"6' 4""","76""",Orthodox,205 lbs.
Kamuela Kirk,13-Apr-94,"5' 10""","75""",Switch,145 lbs.
Yurij Kiseliov,,"5' 8""",,Orthodox,185 lbs.
Justine Kish,13-Apr-88,"5' 5""","64""",Orthodox,125 lbs.
Koji Kitao,12-Oct-63,"6' 7""",,Southpaw,350 lbs.
Satoru Kitaoka,4-Feb-80,"5' 6""",,,154 lbs.
Seth Kleinbeck,25-Jul-73,"6' 2""",,,185 lbs.
Drakkar Klose,9-Mar-88,"5' 9""","70""",Orthodox,155 lbs.
Michael Knaap,27-Feb-84,"6' 2""",,Orthodox,220 lbs.
Kevin Knabjian,5-Jul-84,"5' 10""",,Orthodox,170 lbs.
Jason Knight,14-Jul-92,"5' 10""","71""",Orthodox,145 lbs.
William Knight,3-Apr-88,"5' 10""",,Orthodox,205 lbs.
Isao Kobayashi,28-Oct-88,"5' 8""",,,145 lbs.
Kelly Kobold,25-Feb-83,"5' 6""",,Orthodox,135 lbs.
Erik Koch,4-Oct-88,"5' 10""","71""",Southpaw,170 lbs.
Brad Kohler,26-May-64,"5' 9""",,Orthodox,220 lbs.
Charlie Kohler,16-Jul-76,"5' 9""",,Orthodox,155 lbs.
Tsuyoshi Kohsaka,6-Mar-70,"5' 11""",,Orthodox,225 lbs.
John Kolosci,26-Nov-74,"5' 11""",,Orthodox,185 lbs.
Yuki Kondo,17-Jul-75,"5' 11""",,Southpaw,183 lbs.
Syuri Kondo,8-Feb-89,"5' 4""","66""",Orthodox,115 lbs.
Cheick Kongo,17-May-75,"6' 4""","82""",Orthodox,240 lbs.
Andrei Kopylov,16-Jul-65,"6' 2""",,Orthodox,265 lbs.
Roman Kopylov,4-May-91,"6' 0""","75""",Southpaw,185 lbs.
Andrey Koreshkov,23-Aug-90,"6' 0""",,,170 lbs.
Josh Koscheck,30-Nov-77,"5' 10""","73""",Orthodox,170 lbs.
Naoyuki Kotani,8-Dec-81,"5' 8""","66""",Southpaw,155 lbs.
Iouri Kotchkine,,"6' 2""",,Orthodox,235 lbs.
Matt Kovacs,,"6' 0""",,Orthodox,244 lbs.
Karolina Kowalkiewicz,15-Oct-85,"5' 3""","64""",Orthodox,115 lbs.
Derrick Krantz,13-Jan-88,"5' 10""","72""",Orthodox,170 lbs.
James Krause,4-Jun-86,"6' 2""","73""",Orthodox,170 lbs.
Pascal Krauss,19-Apr-87,"6' 1""","72""",Orthodox,170 lbs.
Jorgen Kruth,8-May-74,"6' 2""",,,205 lbs.
Nikita Krylov,7-Mar-92,"6' 3""","77""",Orthodox,205 lbs.
Junya Kudo,,,,Orthodox,135 lbs.
John Kuhner,12-Oct-82,,,,170 lbs.
Michael Kuiper,7-Jun-89,"6' 0""","73""",Orthodox,185 lbs.
Anton Kuivanen,1-May-84,"5' 8""","72""",Orthodox,155 lbs.
Aleksei Kunchenko,2-May-84,"5' 8""","70""",Orthodox,170 lbs.
Kiichi Kunimoto,1-May-81,"5' 10""","71""",Orthodox,170 lbs.
Yana Kunitskaya,11-Nov-89,"5' 6""","68""",Orthodox,135 lbs.
Leo Kuntz,3-Oct-83,"5' 10""","74""",Orthodox,155 lbs.
Ramazan Kuramagomedov,23-Aug-96,"6' 0""",,Orthodox,185 lbs.
Tsuyoshi Kurihara,13-Jul-73,"5' 10""",,Orthodox,185 lbs.
Eldari Kurtanidze,16-Apr-72,"5' 6""",,Orthodox,235 lbs.
Lina Kvokov,,"5' 9""",,Orthodox,135 lbs.
Kaleo Kwan,1-Aug-70,"5' 7""",,,155 lbs.
Jarrod Kwitty,,"5' 8""",,,185 lbs.
Mike Kyle,31-Mar-80,"6' 4""","77""",Orthodox,205 lbs.
Achmed Labasanov,24-Apr-78,"6' 3""",,Orthodox,215 lbs.
Aspen Ladd,1-Mar-95,"5' 6""","66""",Orthodox,135 lbs.
Ryan LaFlare,1-Oct-83,"6' 1""","74""",Southpaw,170 lbs.
Ben Lagman,4-Sep-86,"6' 2""",,,185 lbs.
Noad Lahat,8-Jun-84,"5' 9""","69""",Orthodox,145 lbs.
Tina Lahdemaki,28-May-88,"5' 2""","62""",Orthodox,115 lbs.
Tim Lajcik,21-Jun-65,"6' 1""",,Orthodox,225 lbs.
Todd Lally,,"5' 7""",,Orthodox,145 lbs.
Sean Lally,4-Nov-90,"6' 0""","74""",Orthodox,170 lbs.
Ricardo Lamas,21-May-82,"5' 8""","71""",Orthodox,145 lbs.
Jason Lambert,3-Jun-75,"6' 3""","75""",Orthodox,185 lbs.
Jose Landi-Jons,9-Sep-73,"5' 11""",,Orthodox,170 lbs.
Nate Landwehr,6-Jun-88,"5' 9""","72""",Orthodox,145 lbs.
Austen Lane,9-Nov-87,"6' 6""","80""",Orthodox,245 lbs.
Aaron Lanfranco,26-Aug-86,,,,155 lbs.
Jeremy Lang,11-May-75,"5' 11""",,Southpaw,205 lbs.
Lionel Lanham,31-Aug-80,,,,205 lbs.
Lina Lansberg,13-Mar-82,"5' 7""","65""",Orthodox,135 lbs.
Taylor Lapilus,8-Apr-92,"5' 6""","73""",Southpaw,135 lbs.
Chad Laprise,23-Jul-86,"5' 10""","71""",Orthodox,170 lbs.
Anthony Lapsley,13-Feb-80,"5' 9""","71""",Southpaw,170 lbs.
Icho Larenas,12-Mar-80,"6' 3""",,Orthodox,235 lbs.
Lorenz Larkin,3-Sep-86,"5' 11""","72""",Orthodox,170 lbs.
Jeremy Larsen,18-May-84,"5' 10""","70""",Orthodox,145 lbs.
Brock Larson,23-Aug-77,"5' 11""","71""",Southpaw,170 lbs.
Ryan Larson,30-Dec-80,,,,170 lbs.
Bobby Lashley,16-Jul-76,"6' 3""","78""",Orthodox,255 lbs.
Ilir Latifi,28-Jul-83,"5' 10""","73""",Orthodox,205 lbs.
Sione Latu,,"6' 0""",,,215 lbs.
Jenel Lausa,1-Aug-88,"5' 5""","68""",Orthodox,125 lbs.
Joe Lauzon,22-May-84,"5' 10""","71""",Orthodox,155 lbs.
Dan Lauzon,30-Mar-88,"5' 10""",,Orthodox,155 lbs.
Chatt Lavender,24-May-76,"5' 8""",,,170 lbs.
Muhammed Lawal,11-Jan-81,"6' 0""","78""",Southpaw,205 lbs.
Robbie Lawler,20-Mar-82,"5' 11""","74""",Southpaw,170 lbs.
Tom Lawlor,15-May-83,"6' 0""","74""",Southpaw,205 lbs.
Justin Lawrence,15-May-90,"5' 8""","67""",Orthodox,145 lbs.
Lance Lawrence,26-Jun-93,"6' 1""","74""",Orthodox,145 lbs.
Eric Lawson,,"6' 0""",,Orthodox,185 lbs.
Valmir Lazaro,15-Aug-85,"6' 0""","73""",Orthodox,155 lbs.
Cung Le,25-May-72,"5' 9""","69""",Southpaw,185 lbs.
Thanh Le,28-Aug-85,"5' 9""","74""",Orthodox,145 lbs.
Jerome LeBanner,26-Dec-72,"6' 3""",,Southpaw,265 lbs.
Chris Leben,21-Jul-80,"5' 11""","74""",Southpaw,185 lbs.
Mickael Lebout,16-Aug-87,"5' 11""","73""",Orthodox,155 lbs.
Stephen Ledbetter,30-Jun-82,"5' 9""",,Orthodox,145 lbs.
Justin Ledet,28-Sep-88,"6' 4""","80""",Orthodox,205 lbs.
James Lee,22-Sep-73,"5' 11""",,Southpaw,205 lbs.
David Lee,,"5' 10""",,Orthodox,155 lbs.
Eun Soo Lee,7-Mar-82,"6' 1""",,Orthodox,215 lbs.
Tae Hyun Lee,17-Jan-75,"6' 6""",,Orthodox,295 lbs.
Tommy Lee,20-Jan-77,"5' 7""",,Orthodox,145 lbs.
Vaughan Lee,15-Oct-82,"5' 6""","66""",Orthodox,125 lbs.
Kevin Lee,4-Sep-92,"5' 9""","77""",Orthodox,170 lbs.
Rocky Lee,8-Apr-87,"5' 9""","68""",Orthodox,145 lbs.
