fighter_name,DOB,Height,Reach,Stance,Weight
Junior Barata,25-Jan-82,"5' 10""",,Orthodox,170 lbs.
Maycee Barber,18-May-98,"5' 5""","65""",Switch,125 lbs.
Bryan Barberena,3-May-89,"6' 0""","72""",Southpaw,170 lbs.
Edson Barboza,21-Jan-86,"5' 11""","75""",Orthodox,145 lbs.
Raoni Barcelos,1-May-87,"5' 7""","67""",Orthodox,135 lbs.
Luke Barnatt,13-Apr-88,"6' 6""","77""",Orthodox,185 lbs.
James Barnes,,"5' 8""",,,145 lbs.
Nick Barnes,,"5' 11""",,,170 lbs.
Josh Barnett,10-Nov-77,"6' 3""","78""",Orthodox,250 lbs.
David Baron,15-Feb-73,"5' 6""",,Switch,155 lbs.
Phil Baroni,16-Apr-76,"5' 9""","72""",Orthodox,170 lbs.
Dan Barrera,23-Dec-80,"5' 9""",,Orthodox,170 lbs.
Carlos Barreto,,"6' 4""",,Orthodox,230 lbs.
Jose Barreto,,,,Southpaw,185 lbs.
Peter Barrett,10-Aug-86,"5' 10""","73""",Southpaw,155 lbs.
Marc-Andre Barriault,18-Feb-90,"6' 1""","74""",Orthodox,185 lbs.
David Barrios,,"5' 6""",,,145 lbs.
Alexandre Barros,19-Nov-76,"5' 9""",,Southpaw,170 lbs.
Ricardo Barros,22-Mar-76,"6' 1""",,,205 lbs.
Francimar Barroso,28-Feb-80,"6' 1""","75""",Orthodox,205 lbs.
Pat Barry,7-Jul-79,"5' 11""","74""",Orthodox,235 lbs.
Enrique Barzola,28-Apr-89,"5' 7""","70""",Orthodox,145 lbs.
Stephen Bass,14-Nov-82,"5' 9""",,Orthodox,145 lbs.
Ryan Bastianelli,,"5' 5""",,,135 lbs.
Shayna Baszler,8-Aug-80,"5' 7""","67""",Orthodox,135 lbs.
Danaa Batgerel,4-Jul-89,"5' 7""","70""",Orthodox,135 lbs.
Michel Batista,20-Apr-84,"6' 3""",,Orthodox,260 lbs.
Mario Bautista,1-Jul-93,"5' 9""","69""",Switch,135 lbs.
Chris Beal,6-Aug-85,"5' 7""","69""",Orthodox,125 lbs.
Rudy Bears,,"5' 11""",,Southpaw,170 lbs.
Salvador Becerra,,"5' 9""",,,155 lbs.
Ariel Beck,16-Sep-90,"5' 6""","66""",Southpaw,125 lbs.
Jeff Bedard,6-Feb-70,"5' 6""",,Orthodox,145 lbs.
Eric Bedard,11-Sep-84,"6' 2""",,,239 lbs.
Johnny Bedford,6-Jan-83,"5' 10""","71""",Orthodox,135 lbs.
Chase Beebe,29-Mar-85,"5' 7""","67""",Orthodox,135 lbs.
